id,no_jobs,no_machines,objective,type,pt_sd,mean_sd_per_machine,mean_sd_per_job,mean_skew_per_machine,mean_skew_per_job,mean_kurt_per_machine,mean_kurt_per_job
111,200,40,FLOWTIME,NOWAIT,49.651503595715134,49.42603570677476,48.54680817692219,1.8319500689161246,1.47690614362729,0.029508524085399217,-0.31287405257894274
113,200,40,FLOWTIME,PERM,49.651503595715134,49.42603570677476,48.54680817692219,1.8319500689161246,1.47690614362729,-0.3233503408765808,0.21309004630692985
114,200,40,FLOWTIME,PERM,49.651503595715134,49.42603570677476,48.54680817692219,1.8319500689161246,1.47690614362729,0.30348418689578366,0.4514113186964479
115,200,40,MAKESPAN,NOIDLE,49.651503595715134,49.42603570677476,48.54680817692219,1.8319500689161246,1.47690614362729,-0.6780379018722433,-0.05913378737071325
116,200,40,MAKESPAN,NOIDLE,49.651503595715134,49.42603570677476,48.54680817692219,1.8319500689161246,1.47690614362729,-0.34433322239156056,-0.1498210568874992
117,200,40,MAKESPAN,NOWAIT,49.651503595715134,49.42603570677476,48.54680817692219,1.8319500689161246,1.47690614362729,0.1266639464954112,-0.4516009606665691
118,200,40,MAKESPAN,NOWAIT,49.651503595715134,49.42603570677476,48.54680817692219,1.8319500689161246,1.47690614362729,-0.24415371049680648,0.6763956038430479
119,200,40,MAKESPAN,PERM,49.651503595715134,49.42603570677476,48.54680817692219,1.8319500689161246,1.47690614362729,-0.8624857665849643,-0.40680823964526946
120,200,40,MAKESPAN,PERM,49.651503595715134,49.42603570677476,48.54680817692219,1.8319500689161246,1.47690614362729,-0.6314141502982751,-0.28150323134956956
121,50,20,FLOWTIME,NOIDLE,28.70263097843622,28.475056892662177,28.63911347809837,-0.005392514004038432,0.006500435965933707,-0.03222818343162957,-0.04839828021687114
123,50,20,FLOWTIME,NOWAIT,28.70263097843622,28.475056892662177,28.63911347809837,-0.005392514004038432,0.006500435965933707,0.14819292992030988,-0.046999032286952666
124,50,20,FLOWTIME,NOWAIT,28.70263097843622,28.475056892662177,28.63911347809837,-0.005392514004038432,0.006500435965933707,-0.4535241141310106,0.21273052446376522
125,50,20,FLOWTIME,PERM,28.70263097843622,28.475056892662177,28.63911347809837,-0.005392514004038432,0.006500435965933707,0.31149222416186895,-1.1435169351854033
126,50,20,FLOWTIME,PERM,28.70263097843622,28.475056892662177,28.63911347809837,-0.005392514004038432,0.006500435965933707,-0.38367449328699077,-0.21874850622772993
127,50,20,MAKESPAN,NOIDLE,28.70263097843622,28.475056892662177,28.63911347809837,-0.005392514004038432,0.006500435965933707,-0.726717141537978,-0.302748054300173
128,50,20,MAKESPAN,NOIDLE,28.70263097843622,28.475056892662177,28.63911347809837,-0.005392514004038432,0.006500435965933707,-0.0538491793974721,-0.8508304075673981
130,50,20,MAKESPAN,NOWAIT,28.70263097843622,28.475056892662177,28.63911347809837,-0.005392514004038432,0.006500435965933707,-0.37241454179423233,-0.6340259151033589
134,100,20,FLOWTIME,NOIDLE,28.53179277680893,28.32260785340652,28.49802804114919,-0.0047543817270659485,-0.004037280871293452,0.02392337774980418,0.052825513734111
135,100,20,FLOWTIME,NOWAIT,28.53179277680893,28.32260785340652,28.49802804114919,-0.0047543817270659485,-0.004037280871293452,-0.0018503556457076797,0.16789707980149682
136,100,20,FLOWTIME,NOWAIT,28.53179277680893,28.32260785340652,28.49802804114919,-0.0047543817270659485,-0.004037280871293452,-0.8450663340915344,-0.43766816663750874
137,100,20,FLOWTIME,PERM,28.53179277680893,28.32260785340652,28.49802804114919,-0.0047543817270659485,-0.004037280871293452,-0.47329679393611285,-0.4063799952366411
138,100,20,FLOWTIME,PERM,28.53179277680893,28.32260785340652,28.49802804114919,-0.0047543817270659485,-0.004037280871293452,-0.10073142224780404,-0.690083906548684
139,100,20,MAKESPAN,NOIDLE,28.53179277680893,28.32260785340652,28.49802804114919,-0.0047543817270659485,-0.004037280871293452,-1.1301328646126165,-0.4168506385978009
140,100,20,MAKESPAN,NOIDLE,28.53179277680893,28.32260785340652,28.49802804114919,-0.0047543817270659485,-0.004037280871293452,0.07362455985011453,-0.43773194136915083
142,100,20,MAKESPAN,NOWAIT,28.53179277680893,28.32260785340652,28.49802804114919,-0.0047543817270659485,-0.004037280871293452,-0.16707021877028727,-0.6782872456482986
143,100,20,MAKESPAN,PERM,28.53179277680893,28.32260785340652,28.49802804114919,-0.0047543817270659485,-0.004037280871293452,-0.467575115669984,-0.6874691110867528
145,200,20,FLOWTIME,NOIDLE,28.470428916275246,28.30705179607243,28.46166900786397,0.0032013961480226597,0.002407058028978788,0.029258992500242286,-0.19499529029030627
146,200,20,FLOWTIME,NOIDLE,28.470428916275246,28.30705179607243,28.46166900786397,0.0032013961480226597,0.002407058028978788,-0.11958007912829337,-0.9162832867093001
