dist,corr,no_jobs,no_machines,problem,type,objective,instance,cost,time,no_evals
exponential,random,30,5,flowshop,NOWAIT,FLOWTIME,exponential_random_30_5_08.txt,29255,270002,1143586744
exponential,random,30,5,flowshop,NOWAIT,FLOWTIME,exponential_random_30_5_09.txt,33447,270000,1150105913
exponential,random,30,5,flowshop,NOWAIT,FLOWTIME,exponential_random_30_5_10.txt,32829,270000,1145537753
exponential,random,30,5,flowshop,NOWAIT,MAKESPAN,exponential_random_30_5_01.txt,2545,270000,1384339631
exponential,random,30,5,flowshop,NOWAIT,MAKESPAN,exponential_random_30_5_02.txt,2473,270000,1377175854
exponential,random,30,5,flowshop,NOWAIT,MAKESPAN,exponential_random_30_5_03.txt,2557,270000,1366996305
exponential,random,30,5,flowshop,NOWAIT,MAKESPAN,exponential_random_30_5_04.txt,2351,270000,1355787770
exponential,random,30,5,flowshop,NOWAIT,MAKESPAN,exponential_random_30_5_05.txt,2174,270000,1374336538
exponential,random,30,5,flowshop,NOWAIT,MAKESPAN,exponential_random_30_5_06.txt,2385,270000,1399113880
exponential,random,30,5,flowshop,NOWAIT,MAKESPAN,exponential_random_30_5_07.txt,2212,270000,1362733717
exponential,random,30,5,flowshop,NOWAIT,MAKESPAN,exponential_random_30_5_08.txt,2087,270000,1373266686
exponential,random,30,5,flowshop,NOWAIT,MAKESPAN,exponential_random_30_5_09.txt,2493,270000,1380319208
exponential,random,30,5,flowshop,NOWAIT,MAKESPAN,exponential_random_30_5_10.txt,2422,270000,1377042796
exponential,random,30,5,flowshop,PERM,FLOWTIME,exponential_random_30_5_01.txt,27685,270000,595664478
exponential,random,30,5,flowshop,PERM,FLOWTIME,exponential_random_30_5_02.txt,28511,270000,601752824
exponential,random,30,5,flowshop,PERM,FLOWTIME,exponential_random_30_5_03.txt,30521,270000,602147861
exponential,random,30,5,flowshop,PERM,FLOWTIME,exponential_random_30_5_04.txt,23838,270000,605635085
exponential,random,30,5,flowshop,PERM,FLOWTIME,exponential_random_30_5_05.txt,22905,270000,598262251
exponential,random,30,5,flowshop,PERM,FLOWTIME,exponential_random_30_5_06.txt,23857,270000,600121034
exponential,random,30,5,flowshop,PERM,FLOWTIME,exponential_random_30_5_07.txt,22007,270000,609755768
exponential,random,30,5,flowshop,PERM,FLOWTIME,exponential_random_30_5_08.txt,23812,270000,607034714
exponential,random,30,5,flowshop,PERM,FLOWTIME,exponential_random_30_5_09.txt,28109,270000,604331940
exponential,random,30,5,flowshop,PERM,FLOWTIME,exponential_random_30_5_10.txt,27245,270000,603791773
exponential,random,30,5,flowshop,PERM,MAKESPAN,exponential_random_30_5_01.txt,1940,270000,2359433984
exponential,random,30,5,flowshop,PERM,MAKESPAN,exponential_random_30_5_02.txt,1990,270000,2256143872
exponential,random,30,5,flowshop,PERM,MAKESPAN,exponential_random_30_5_03.txt,2114,270000,2213347642
exponential,random,30,5,flowshop,PERM,MAKESPAN,exponential_random_30_5_04.txt,1959,270012,2140030129
exponential,random,30,5,flowshop,PERM,MAKESPAN,exponential_random_30_5_05.txt,1614,270000,2319236592
exponential,random,30,5,flowshop,PERM,MAKESPAN,exponential_random_30_5_06.txt,1982,270000,2154268523
exponential,random,30,5,flowshop,PERM,MAKESPAN,exponential_random_30_5_07.txt,1836,270000,2148622444
exponential,random,30,5,flowshop,PERM,MAKESPAN,exponential_random_30_5_08.txt,1634,270000,2216127088
exponential,random,30,5,flowshop,PERM,MAKESPAN,exponential_random_30_5_09.txt,1946,270000,2278243419
exponential,random,30,5,flowshop,PERM,MAKESPAN,exponential_random_30_5_10.txt,1961,270000,2263142368
exponential,random,30,10,flowshop,NOIDLE,FLOWTIME,exponential_random_30_10_01.txt,48600,540000,367358955
exponential,random,30,10,flowshop,NOIDLE,FLOWTIME,exponential_random_30_10_02.txt,74025,540000,364335929
exponential,random,30,10,flowshop,NOIDLE,FLOWTIME,exponential_random_30_10_03.txt,51041,540000,367597745
exponential,random,30,10,flowshop,NOIDLE,FLOWTIME,exponential_random_30_10_04.txt,62923,540000,367402997
exponential,random,30,10,flowshop,NOIDLE,FLOWTIME,exponential_random_30_10_05.txt,65627,540000,365874830
exponential,random,30,10,flowshop,NOIDLE,FLOWTIME,exponential_random_30_10_06.txt,71335,540000,362807378
exponential,random,30,10,flowshop,NOIDLE,FLOWTIME,exponential_random_30_10_07.txt,80386,540000,367695021
exponential,random,30,10,flowshop,NOIDLE,FLOWTIME,exponential_random_30_10_08.txt,79612,540000,361909603
exponential,random,30,10,flowshop,NOIDLE,FLOWTIME,exponential_random_30_10_09.txt,107507,540000,367218484
exponential,random,30,10,flowshop,NOIDLE,FLOWTIME,exponential_random_30_10_10.txt,68309,540000,367030156
exponential,random,30,10,flowshop,NOIDLE,MAKESPAN,exponential_random_30_10_01.txt,2327,540000,375646440
exponential,random,30,10,flowshop,NOIDLE,MAKESPAN,exponential_random_30_10_02.txt,3261,540000,375809306
exponential,random,30,10,flowshop,NOIDLE,MAKESPAN,exponential_random_30_10_03.txt,2261,540000,376979398
exponential,random,30,10,flowshop,NOIDLE,MAKESPAN,exponential_random_30_10_04.txt,3089,540000,373767872
exponential,random,30,10,flowshop,NOIDLE,MAKESPAN,exponential_random_30_10_05.txt,3013,540000,373486543
